timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1702759632687,18,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-4,text,true,,687,131,8,8,http://localhost:5000/api/v1/livros,18,0,0
1702759632690,20,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-6,text,true,,687,131,8,8,http://localhost:5000/api/v1/livros,20,0,1
1702759632692,19,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-1,text,true,,687,131,8,8,http://localhost:5000/api/v1/livros,19,0,1
1702759632694,19,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-3,text,true,,687,131,8,8,http://localhost:5000/api/v1/livros,19,0,1
1702759632697,17,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-5,text,true,,687,131,8,8,http://localhost:5000/api/v1/livros,17,0,1
1702759632698,18,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-2,text,true,,687,131,8,8,http://localhost:5000/api/v1/livros,18,0,1
1702759632700,17,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-8,text,true,,687,131,8,8,http://localhost:5000/api/v1/livros,17,0,0
1702759632701,17,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-7,text,true,,687,131,8,8,http://localhost:5000/api/v1/livros,17,0,1
1702759632704,16,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-4,text,true,,687,131,8,8,http://localhost:5000/api/v1/livros,16,0,0
1702759632707,16,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-6,text,true,,687,131,9,9,http://localhost:5000/api/v1/livros,16,0,0
1702759632710,18,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-1,text,true,,687,131,9,9,http://localhost:5000/api/v1/livros,18,0,1
1702759632711,17,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-3,text,true,,687,131,9,9,http://localhost:5000/api/v1/livros,17,0,1
1702759632715,17,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-5,text,true,,687,131,9,9,http://localhost:5000/api/v1/livros,17,0,0
1702759632716,18,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-2,text,true,,687,131,9,9,http://localhost:5000/api/v1/livros,18,0,1
1702759632718,18,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-8,text,true,,687,131,9,9,http://localhost:5000/api/v1/livros,18,0,1
1702759632721,19,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-7,text,true,,687,131,9,9,http://localhost:5000/api/v1/livros,19,0,0
1702759632723,19,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-4,text,true,,687,131,9,9,http://localhost:5000/api/v1/livros,19,0,0
1702759632724,18,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-9,text,true,,687,131,9,9,http://localhost:5000/api/v1/livros,18,0,0
1702759632728,21,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-6,text,true,,687,131,9,9,http://localhost:5000/api/v1/livros,20,0,1
1702759632730,19,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-1,text,true,,687,131,9,9,http://localhost:5000/api/v1/livros,19,0,0
1702759632734,22,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-3,text,true,,687,131,9,9,http://localhost:5000/api/v1/livros,21,0,0
1702759632735,20,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-5,text,true,,687,131,9,9,http://localhost:5000/api/v1/livros,20,0,1
1702759632737,21,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-2,text,true,,687,131,9,9,http://localhost:5000/api/v1/livros,21,0,1
1702759632739,21,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-8,text,true,,687,131,9,9,http://localhost:5000/api/v1/livros,21,0,1
1702759632742,20,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-7,text,true,,687,131,9,9,http://localhost:5000/api/v1/livros,20,0,0
